Simulation ID-3932
===================

1) General info 
-------------------
Simulation type: SIR
Thread ID: 6

2) Initial populations 
-------------------
Susceptible: 129
Infected: 3
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00166423
Infected mortality rate (v): 0.0207643
Recovery rate (r): 0.187872
Incubation period (I): 0.162586
Infection rate (b): 0.539701

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|1.413  |88           |23        |18         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.424  |88           |22        |19         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.435  |87           |23        |19         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.445  |86           |24        |19         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.456  |85           |25        |19         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.466  |85           |24        |20         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.476  |84           |25        |20         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.486  |84           |24        |21         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.497  |84           |23        |22         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.508  |83           |24        |22         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.518  |83           |23        |23         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.529  |82           |24        |23         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.540  |82           |23        |24         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.551  |81           |24        |24         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.562  |80           |25        |24         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.572  |80           |24        |25         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.583  |79           |25        |25         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.593  |78           |26        |25         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.603  |77           |27        |25         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.613  |76           |28        |25         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.623  |76           |27        |26         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.633  |76           |26        |27         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.643  |75           |27        |27         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.653  |75           |26        |28         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.664  |74           |27        |28         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.674  |73           |28        |28         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
|1.684  |72           |29        |28         |129               | ||| |2       |4                     |0                  |0                   |1                          |5               |
